"Id","label","prediction"
"190905WW12_p0001-001WW","sustained","sustained"
"190905WW12_p0001-002WW","non-responsive","non-responsive"
"190905WW12_p0001-004WW","intermediate","intermediate"
"190905WW12_p0001-005WW","sustained","sustained"
"190905WW12_p0001-006WW","intermediate","intermediate"
"190905WW12_p0001-007WW","sustained","sustained"
"190905WW12_p0001-009WW","transient","transient"
"190905WW12_p0001-010WW","intermediate","intermediate"
"190905WW12_p0001-011WW","sustained","sustained"
"190905WW12_p0001-012WW","non-responsive","non-responsive"
"190905WW12_p0001-013WW","intermediate","intermediate"
"190905WW12_p0001-016WW","sustained","sustained"
"190905WW12_p0001-017WW","intermediate","intermediate"
"190905WW12_p0001-018WW","intermediate","intermediate"
"190905WW12_p0001-019WW","intermediate","intermediate"
"190905WW12_p0001-020WW","sustained","sustained"
"190905WW12_p0001-021WW","intermediate","intermediate"
"190905WW12_p0001-022WW","sustained","sustained"
"190905WW12_p0001-023WW","intermediate","sustained"
"190905WW12_p0001-025WW","intermediate","intermediate"
"190905WW12_p0001-027WW","sustained","sustained"
"190905WW12_p0002-001WW","non-responsive","non-responsive"
"190905WW12_p0003-002WW","non-responsive","non-responsive"
"190905WW12_p0003-003WW","non-responsive","non-responsive"
"190905WW12_p0003-004WW","non-responsive","non-responsive"
"190905WW12_p0004-001WW","non-responsive","non-responsive"
"190905WW12_p0004-002WW","non-responsive","non-responsive"
"190905WW12_p0004-003WW","non-responsive","non-responsive"
"190905WW12_p0005-001WW","non-responsive","non-responsive"
"190905WW12_p0005-003WW","intermediate","transient"
"190905WW12_p0005-004WW","non-responsive","non-responsive"
"190905WW12_p0005-005WW","non-responsive","non-responsive"
"190905WW12_p0005-007WW","transient","non-responsive"
"190905WW12_p0005-009WW","non-responsive","non-responsive"
"190905WW12_p0005-010WW","non-responsive","non-responsive"
"190905WW12_p0005-011WW","transient","non-responsive"
"190905WW12_p0005-014WW","non-responsive","non-responsive"
"190905WW12_p0005-015WW","non-responsive","non-responsive"
"190905WW12_p0005-017WW","non-responsive","non-responsive"
"190905WW12_p0005-019WW","non-responsive","non-responsive"
"190905WW12_p0006-001WW","non-responsive","non-responsive"
"190905WW12_p0006-002WW","intermediate","intermediate"
"190905WW12_p0006-003WW","sustained","sustained"
"190905WW12_p0006-004WW","non-responsive","non-responsive"
"190905WW12_p0006-005WW","non-responsive","non-responsive"
"190905WW12_p0007-001WW","non-responsive","non-responsive"
"190905WW12_p0007-002WW","non-responsive","non-responsive"
"190905WW12_p0007-003WW","non-responsive","non-responsive"
"190905WW12_p0007-004WW","sustained","non-responsive"
"190905WW12_p0007-005WW","non-responsive","non-responsive"
"190905WW12_p0008-001WW","non-responsive","non-responsive"
"190905WW12_p0008-002WW","non-responsive","non-responsive"
"190905WW12_p0008-004WW","non-responsive","non-responsive"
"190905WW12_p0009-001WW","non-responsive","non-responsive"
"190905WW12_p0009-002WW","intermediate","intermediate"
"190905WW12_p0009-003WW","sustained","sustained"
"190905WW12_p0009-004WW","sustained","sustained"
"190905WW12_p0009-006WW","intermediate","intermediate"
"190905WW12_p0009-007WW","intermediate","intermediate"
"190905WW12_p0009-008WW","intermediate","intermediate"
"190905WW12_p0009-009WW","non-responsive","non-responsive"
"190905WW12_p0010-001WW","non-responsive","non-responsive"
"190905WW12_p0010-004WW","non-responsive","transient"
"190905WW12_p0010-005WW","non-responsive","transient"
"190905WW12_p0010-006WW","non-responsive","non-responsive"
"190905WW12_p0010-012WW","transient","intermediate"
"190905WW12_p0010-013WW","sustained","sustained"
"190905WW12_p0011-001WW","sustained","sustained"
"190905WW12_p0011-002WW","sustained","sustained"
"190905WW12_p0011-003WW","sustained","sustained"
"190905WW12_p0011-004WW","intermediate","intermediate"
"190905WW12_p0011-005WW","intermediate","intermediate"
"190905WW12_p0011-007WW","non-responsive","non-responsive"
"190905WW12_p0011-008WW","intermediate","non-responsive"
"190905WW12_p0011-009WW","intermediate","non-responsive"
"190905WW12_p0011-010WW","sustained","sustained"
"190905WW12_p0011-011WW","sustained","sustained"
"190905WW12_p0011-012WW","intermediate","sustained"
"190905WW12_p0011-013WW","sustained","intermediate"
"190905WW12_p0011-014WW","sustained","sustained"
"190905WW12_p0011-015WW","intermediate","sustained"
"190905WW12_p0011-016WW","intermediate","intermediate"
"190905WW12_p0011-017WW","transient","non-responsive"
"190905WW12_p0011-018WW","sustained","sustained"
"190905WW12_p0011-019WW","intermediate","sustained"
"190905WW12_p0011-020WW","sustained","sustained"
"190905WW12_p0011-021WW","intermediate","sustained"
"190905WW12_p0011-022WW","intermediate","transient"
"190905WW12_p0011-023WW","intermediate","intermediate"
"190905WW12_p0011-024WW","sustained","intermediate"
"190905WW12_p0011-025WW","sustained","sustained"
"190905WW12_p0011-027WW","non-responsive","non-responsive"
"190905WW12_p0011-028WW","intermediate","intermediate"
"190905WW12_p0012-001WW","sustained","intermediate"
"190905WW12_p0012-002WW","intermediate","intermediate"
"190905WW12_p0012-003WW","sustained","sustained"
"190905WW12_p0012-004WW","sustained","sustained"
"190905WW12_p0012-005WW","sustained","sustained"
"190905WW12_p0012-006WW","intermediate","intermediate"
"190905WW12_p0012-007WW","transient","non-responsive"
"190905WW12_p0012-008WW","non-responsive","non-responsive"
"190905WW12_p0012-010WW","intermediate","sustained"
"190905WW12_p0012-011WW","sustained","sustained"
"190905WW12_p0012-012WW","transient","transient"
"190905WW12_p0012-013WW","sustained","sustained"
"190905WW12_p0012-014WW","sustained","sustained"
"190905WW12_p0012-016WW","non-responsive","non-responsive"
"190905WW12_p0012-018WW","intermediate","intermediate"
"190905WW12_p0012-019WW","sustained","sustained"
"190905WW12_p0013-001WW","transient","non-responsive"
"190905WW12_p0013-002WW","non-responsive","non-responsive"
"190905WW12_p0013-003WW","transient","transient"
"190905WW12_p0013-004WW","transient","non-responsive"
"190905WW12_p0013-005WW","transient","transient"
"190905WW12_p0013-006WW","non-responsive","non-responsive"
"190905WW12_p0013-007WW","non-responsive","non-responsive"
"190905WW12_p0013-008WW","non-responsive","non-responsive"
"190905WW12_p0014-001WW","non-responsive","non-responsive"
"190905WW12_p0014-002WW","non-responsive","non-responsive"
"190905WW12_p0014-003WW","non-responsive","non-responsive"
"190905WW12_p0014-004WW","non-responsive","non-responsive"
"190905WW12_p0015-001WW","non-responsive","non-responsive"
"190905WW12_p0015-002WW","non-responsive","intermediate"
"190905WW12_p0015-003WW","non-responsive","non-responsive"
"190905WW12_p0016-002WW","non-responsive","non-responsive"
"190905WW12_p0016-004WW","non-responsive","non-responsive"
